Name,player,CF% rel,FF% rel,TK,GV,E+/-
Colin Blackwell\\blackco01,Colin Blackwell,-0.2,2.7,6,7,0.8
Sammy Blais\\blaissa01,Sammy Blais,-1,-0.7,12,18,3.2
Joseph Blandisi\\blandjo01,Joseph Blandisi,-10,-11.5,8,1,-1.6
Joachim Blichfeld\\blichjo01,Joachim Blichfeld,-11.3,-6,2,0,-0.7
Anton Blidh\\blidhan01,Anton Blidh,-6.2,-8,2,1,0.9
Teddy Blueger\\bluegte01,Teddy Blueger,-0.7,-2.7,29,22,-2
Mikkel Boedker\\boedkmi01,Mikkel Boedker,-4.2,-2.2,1,8,-2.4
Brock Boeser\\boesebr01,Brock Boeser,6.7,7.2,20,22,5.2
Zach Bogosian\\bogosza01,Zach Bogosian,-1.2,-1.7,4,11,-1.8
Nick Bonino\\boninni01,Nick Bonino,-1.7,0.4,47,22,2.2
Adam Boqvist\\boqviad01,Adam Boqvist,0.5,1.1,10,26,-2.8
Jesper Boqvist\\boqvije01,Jesper Boqvist,-0.3,-1.2,13,11,-3.2
Henrik Borgstr\'f6m\\borgshe01,Henrik Borgstr,-6.5,-10.3,3,1,-0.3
Mark Borowiecki\\borowma01,Mark Borowiecki,-4,-1,10,30,-4.4
Robert Bortuzzo\\borturo01,Robert Bortuzzo,-0.7,-2.1,2,10,3.6
Gabriel Bourque\\bourqga01,Gabriel Bourque,-8.2,-6.8,5,14,-3.5
Jay Bouwmeester\\bouwmja01,Jay Bouwmeester,-7.3,-6.1,11,32,-9.5
Madison Bowey\\boweyma01,Madison Bowey,-2.3,-2.9,14,45,-12.1
Johnny Boychuk\\boychjo01,Johnny Boychuk,-1.9,-2.5,6,50,-8
Travis Boyd\\boydtr01,Travis Boyd,2.9,2.1,7,6,0.6
Brian Boyle\\boylebr01,Brian Boyle,-6.7,-5.2,16,13,-2.7
Tyler Bozak\\bozakty01,Tyler Bozak,-0.2,-0.8,29,20,5.4
Erik Brannstrom\\branner01,Erik Brannstrom,1.5,1,5,20,0
Derick Brassard\\brassde01,Derick Brassard,-2.5,-2.4,26,40,-0.4
Jesper Bratt\\brattje01,Jesper Bratt,2.7,3.7,18,24,-2.8
Justin Braun\\braunju01,Justin Braun,-1.7,-2.3,10,31,2.7
T.J. Brodie\\broditj01,T.J. Brodie,3.6,2.8,34,52,3.2
Jonas Brodin\\brodijo01,Jonas Brodin,-1.2,0.8,14,16,6.2
Jonny Brodzinski\\brodzjo01,Jonny Brodzinski,-2.1,2.6,0,0,-0.5
Adam Brooks\\brookad01,Adam Brooks,-6.6,-6.7,2,1,0.3
